MonthlyCharges,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineBackup,Contract,PaperlessBilling,Churn
60.95,Male,0.00,No,Yes,2.00,DSL,Yes,Month-to-month,No,No
25.05,Female,0.00,Yes,Yes,5.00,DSL,No,Month-to-month,No,No
88.15,Female,0.00,Yes,No,15.00,Fiber optic,No,Month-to-month,No,Yes
20.20,Male,0.00,No,No,1.00,No,No internet service,Month-to-month,Yes,Yes
60.30,Male,0.00,Yes,Yes,41.00,DSL,Yes,One year,Yes,No
63.95,Female,0.00,No,Yes,43.00,DSL,Yes,Month-to-month,Yes,No
74.30,Male,1.00,Yes,No,1.00,Fiber optic,No,Month-to-month,No,No
70.60,Female,1.00,No,No,1.00,Fiber optic,No,Month-to-month,Yes,No
90.80,Female,0.00,Yes,Yes,26.00,Fiber optic,No,Month-to-month,Yes,Yes
79.35,Male,0.00,No,No,22.00,Fiber optic,Yes,Month-to-month,Yes,Yes
90.55,Male,0.00,Yes,No,71.00,DSL,Yes,Two year,No,No
19.45,Male,0.00,No,No,7.00,No,No internet service,Two year,No,No
64.45,Female,1.00,No,No,28.00,DSL,Yes,Month-to-month,No,No
69.65,Male,1.00,No,No,16.00,Fiber optic,No,Month-to-month,No,No
19.50,Male,0.00,No,No,7.00,No,No internet service,One year,No,No
110.50,Female,0.00,No,No,69.00,Fiber optic,Yes,Two year,Yes,No
24.70,Female,0.00,No,Yes,1.00,DSL,No,Month-to-month,No,No
77.40,Male,0.00,No,No,3.00,DSL,No,Month-to-month,Yes,No
96.80,Male,1.00,No,No,21.00,Fiber optic,No,Month-to-month,Yes,Yes
85.40,Female,0.00,Yes,No,69.00,Fiber optic,Yes,Month-to-month,Yes,No
47.60,Female,0.00,Yes,No,71.00,DSL,Yes,Two year,Yes,No
19.40,Female,0.00,Yes,Yes,69.00,No,No internet service,Two year,No,No
103.85,Female,0.00,No,No,48.00,Fiber optic,No,Month-to-month,Yes,No
83.35,Male,0.00,Yes,No,47.00,Fiber optic,Yes,Month-to-month,Yes,Yes
49.40,Female,0.00,No,No,2.00,DSL,No,Month-to-month,Yes,Yes
108.45,Male,0.00,No,No,45.00,Fiber optic,No,Month-to-month,Yes,No
81.00,Male,0.00,No,No,51.00,Fiber optic,Yes,Month-to-month,No,No
79.20,Female,0.00,Yes,No,22.00,DSL,No,Month-to-month,Yes,Yes
86.65,Male,0.00,No,No,72.00,DSL,Yes,Two year,No,No
92.95,Male,0.00,Yes,Yes,37.00,Fiber optic,Yes,Month-to-month,Yes,No
90.35,Male,0.00,Yes,Yes,71.00,DSL,Yes,Two year,No,No
48.70,Male,0.00,Yes,Yes,7.00,DSL,No,Month-to-month,No,Yes
25.15,Female,0.00,No,No,66.00,No,No internet service,Two year,Yes,No
76.40,Male,0.00,Yes,Yes,51.00,DSL,No,One year,Yes,No
19.55,Female,0.00,Yes,Yes,30.00,No,No internet service,One year,No,No
85.35,Female,0.00,No,No,34.00,Fiber optic,No,Month-to-month,No,No
24.80,Male,0.00,Yes,Yes,64.00,No,No internet service,Two year,Yes,No
103.15,Male,1.00,Yes,No,65.00,Fiber optic,Yes,One year,Yes,No
100.75,Male,0.00,No,No,47.00,Fiber optic,Yes,Month-to-month,No,No
95.60,Female,0.00,No,No,1.00,Fiber optic,No,Month-to-month,Yes,Yes
59.75,Female,0.00,No,No,49.00,DSL,Yes,Month-to-month,Yes,Yes
94.10,Female,0.00,Yes,Yes,67.00,Fiber optic,Yes,Two year,No,No
19.35,Male,0.00,No,Yes,39.00,No,No internet service,One year,No,No
19.90,Male,0.00,No,No,14.00,No,No internet service,Month-to-month,No,No
108.15,Female,1.00,No,No,43.00,Fiber optic,Yes,Month-to-month,Yes,Yes
101.05,Male,1.00,No,No,56.00,Fiber optic,No,Month-to-month,Yes,No
59.10,Female,0.00,No,No,14.00,DSL,No,One year,No,No
71.35,Female,0.00,No,No,1.00,Fiber optic,No,Month-to-month,No,Yes
55.85,Male,0.00,Yes,Yes,16.00,DSL,Yes,One year,Yes,No
106.05,Male,0.00,Yes,Yes,70.00,Fiber optic,Yes,Month-to-month,Yes,No
84.10,Male,1.00,Yes,No,72.00,DSL,Yes,Two year,Yes,No
75.30,Female,0.00,Yes,Yes,23.00,Fiber optic,No,Month-to-month,Yes,No
24.70,Male,0.00,No,Yes,21.00,No,No internet service,Month-to-month,No,No
20.15,Female,0.00,No,No,1.00,No,No internet service,Month-to-month,Yes,Yes
69.75,Male,0.00,No,Yes,1.00,Fiber optic,No,Month-to-month,No,Yes
93.20,Female,1.00,Yes,No,32.00,Fiber optic,No,Month-to-month,Yes,Yes
80.85,Male,0.00,Yes,Yes,17.00,Fiber optic,No,Month-to-month,No,Yes
33.65,Female,0.00,No,No,4.00,DSL,Yes,Month-to-month,Yes,Yes
55.80,Female,0.00,No,No,36.00,DSL,No,One year,No,No
39.70,Female,0.00,No,No,50.00,DSL,Yes,Two year,No,No
29.50,Female,0.00,Yes,Yes,48.00,DSL,No,Month-to-month,Yes,No
20.15,Female,0.00,No,Yes,50.00,No,No internet service,Two year,No,No
79.55,Male,0.00,Yes,No,72.00,DSL,Yes,Two year,No,No
24.80,Male,0.00,No,Yes,10.00,No,No internet service,Month-to-month,No,No
19.65,Female,0.00,No,No,18.00,No,No internet service,Month-to-month,No,No
79.95,Male,0.00,No,No,1.00,Fiber optic,No,Month-to-month,Yes,Yes
19.30,Female,0.00,No,No,1.00,No,No internet service,Month-to-month,No,Yes
94.05,Male,0.00,No,No,9.00,Fiber optic,No,Month-to-month,Yes,No
90.75,Male,0.00,No,No,2.00,Fiber optic,No,Month-to-month,No,No
78.85,Female,0.00,Yes,No,40.00,Fiber optic,No,Month-to-month,Yes,No
99.50,Male,0.00,Yes,No,69.00,Fiber optic,No,One year,No,No
99.20,Female,0.00,Yes,No,37.00,Fiber optic,No,One year,Yes,Yes
80.55,Male,0.00,No,Yes,18.00,Fiber optic,No,Month-to-month,Yes,No
70.20,Male,1.00,Yes,No,11.00,Fiber optic,No,Month-to-month,Yes,No
85.20,Female,0.00,Yes,No,8.00,Fiber optic,No,Month-to-month,Yes,Yes
75.25,Female,0.00,No,No,3.00,Fiber optic,No,Month-to-month,No,Yes
59.45,Male,0.00,Yes,Yes,55.00,DSL,No,One year,No,No
93.35,Male,0.00,Yes,No,33.00,Fiber optic,Yes,Month-to-month,Yes,No
44.95,Female,0.00,No,No,46.00,DSL,No,Month-to-month,No,No
26.10,Male,0.00,No,No,34.00,No,No internet service,Two year,No,No
20.20,Female,0.00,No,No,3.00,No,No internet service,Month-to-month,No,No
21.25,Male,0.00,Yes,Yes,30.00,No,No internet service,Two year,No,No
59.40,Female,0.00,No,No,33.00,DSL,No,One year,No,No
95.00,Male,0.00,Yes,Yes,45.00,Fiber optic,Yes,One year,Yes,No
61.90,Male,0.00,No,No,40.00,DSL,Yes,Month-to-month,Yes,No
118.65,Female,0.00,No,No,71.00,Fiber optic,Yes,Two year,Yes,No
54.35,Male,0.00,No,No,1.00,DSL,No,Month-to-month,No,Yes
64.45,Female,0.00,Yes,Yes,72.00,DSL,Yes,Two year,No,No
80.15,Female,0.00,Yes,Yes,22.00,Fiber optic,No,Month-to-month,Yes,No
20.20,Male,0.00,Yes,Yes,46.00,No,No internet service,One year,Yes,No
21.00,Female,0.00,Yes,Yes,55.00,No,No internet service,Two year,No,No
20.45,Male,0.00,No,No,1.00,No,No internet service,Month-to-month,No,No
75.85,Female,0.00,No,No,12.00,DSL,No,One year,Yes,No
80.45,Male,0.00,No,No,31.00,Fiber optic,Yes,Month-to-month,Yes,No
24.95,Male,0.00,Yes,No,5.00,DSL,No,Month-to-month,Yes,Yes
75.50,Female,0.00,Yes,Yes,67.00,DSL,No,Two year,Yes,No
44.45,Male,0.00,No,No,1.00,DSL,No,Month-to-month,No,No
42.35,Male,0.00,Yes,No,40.00,DSL,Yes,One year,Yes,Yes
74.55,Male,0.00,Yes,Yes,41.00,DSL,Yes,Month-to-month,Yes,No
75.30,Male,0.00,No,No,1.00,Fiber optic,No,Month-to-month,Yes,Yes
94.80,Male,0.00,No,No,51.00,Fiber optic,Yes,One year,Yes,Yes
48.15,Male,0.00,Yes,Yes,42.00,DSL,No,Two year,No,No
19.65,Male,0.00,Yes,Yes,23.00,No,No internet service,One year,No,No
70.55,Female,1.00,No,No,1.00,Fiber optic,No,Month-to-month,Yes,Yes
20.15,Female,0.00,No,No,1.00,No,No internet service,Month-to-month,No,No
106.60,Female,0.00,No,No,56.00,Fiber optic,Yes,Month-to-month,Yes,No
91.00,Male,0.00,No,Yes,15.00,Fiber optic,Yes,Month-to-month,Yes,No
25.40,Male,0.00,Yes,Yes,12.00,No,No internet service,Two year,Yes,No
69.95,Female,0.00,Yes,Yes,54.00,DSL,No,Two year,No,No
66.85,Female,0.00,No,No,7.00,DSL,No,Month-to-month,Yes,No
86.15,Female,0.00,Yes,Yes,33.00,Fiber optic,No,Month-to-month,No,Yes
20.15,Male,0.00,Yes,Yes,16.00,No,No internet service,Month-to-month,No,No
64.85,Female,0.00,No,Yes,21.00,DSL,No,One year,No,No
74.85,Male,1.00,Yes,No,30.00,DSL,No,Two year,No,No
50.50,Male,0.00,No,No,3.00,DSL,No,Month-to-month,Yes,No
72.90,Male,0.00,No,No,11.00,Fiber optic,No,Month-to-month,No,No
115.05,Female,0.00,No,No,62.00,Fiber optic,Yes,One year,Yes,No
19.00,Male,0.00,No,No,18.00,No,No internet service,Month-to-month,No,No
19.55,Male,0.00,No,Yes,6.00,No,No internet service,Month-to-month,No,No
101.10,Female,0.00,No,No,46.00,Fiber optic,No,One year,Yes,No
84.10,Male,0.00,No,No,21.00,Fiber optic,No,Month-to-month,Yes,No
24.15,Male,0.00,No,No,68.00,No,No internet service,Two year,Yes,No
50.10,Female,0.00,No,No,1.00,DSL,No,Month-to-month,Yes,No
74.60,Female,0.00,Yes,No,25.00,Fiber optic,No,Month-to-month,Yes,No
19.75,Female,0.00,No,Yes,24.00,No,No internet service,Two year,No,No
85.00,Female,0.00,Yes,No,30.00,Fiber optic,No,Month-to-month,Yes,Yes
80.55,Female,0.00,No,No,2.00,Fiber optic,No,Month-to-month,No,Yes
106.80,Male,0.00,Yes,No,51.00,Fiber optic,Yes,One year,Yes,No
84.50,Female,0.00,Yes,Yes,57.00,DSL,No,Two year,Yes,No
25.05,Female,0.00,No,No,15.00,No,No internet service,Two year,No,No
83.70,Female,0.00,Yes,Yes,72.00,DSL,Yes,Two year,Yes,No
75.80,Female,0.00,No,No,2.00,Fiber optic,No,Month-to-month,Yes,Yes
96.60,Male,0.00,Yes,No,28.00,Fiber optic,Yes,Month-to-month,No,No
98.50,Male,1.00,Yes,No,29.00,Fiber optic,No,Month-to-month,Yes,Yes
101.10,Male,0.00,Yes,Yes,70.00,Fiber optic,Yes,Two year,Yes,No
20.20,Female,0.00,No,No,13.00,No,No internet service,One year,No,No
94.05,Female,1.00,Yes,No,59.00,Fiber optic,Yes,One year,Yes,No
95.25,Male,1.00,Yes,No,13.00,Fiber optic,No,Month-to-month,Yes,Yes
74.40,Male,1.00,Yes,No,7.00,Fiber optic,No,Month-to-month,Yes,Yes
81.00,Female,0.00,Yes,No,62.00,DSL,No,Two year,No,No
60.25,Female,0.00,No,No,21.00,DSL,No,One year,Yes,No
60.85,Female,0.00,No,No,2.00,DSL,No,Month-to-month,No,No
43.95,Female,0.00,No,No,1.00,DSL,No,Month-to-month,No,No
86.05,Male,0.00,No,No,4.00,Fiber optic,No,Month-to-month,No,No
20.25,Female,0.00,No,No,19.00,No,No internet service,One year,No,No
85.15,Female,0.00,No,No,30.00,Fiber optic,No,Month-to-month,No,Yes
19.40,Male,0.00,Yes,Yes,67.00,No,No internet service,Two year,Yes,No
102.65,Male,1.00,Yes,No,72.00,Fiber optic,Yes,Two year,Yes,No
19.90,Male,0.00,Yes,No,53.00,No,No internet service,Two year,No,No
19.55,Female,0.00,No,No,5.00,No,No internet service,One year,No,No
95.50,Male,1.00,Yes,No,71.00,Fiber optic,Yes,Two year,Yes,No
84.15,Female,0.00,Yes,Yes,50.00,DSL,Yes,One year,Yes,No
103.20,Male,0.00,Yes,Yes,56.00,Fiber optic,No,Two year,Yes,No
50.20,Male,0.00,No,No,2.00,DSL,No,Month-to-month,Yes,No
88.55,Female,1.00,No,No,2.00,Fiber optic,No,Month-to-month,Yes,Yes
54.75,Male,0.00,Yes,Yes,24.00,DSL,No,Month-to-month,No,Yes
19.95,Male,0.00,Yes,Yes,46.00,No,No internet service,Two year,No,No
116.25,Male,0.00,Yes,No,71.00,Fiber optic,Yes,Two year,Yes,No
31.20,Female,0.00,No,No,29.00,DSL,No,Month-to-month,Yes,No
24.45,Male,0.00,Yes,Yes,69.00,No,No internet service,Two year,No,No
84.20,Male,0.00,Yes,No,71.00,DSL,Yes,Two year,No,No
91.30,Female,1.00,No,No,1.00,Fiber optic,No,Month-to-month,Yes,Yes
85.65,Male,1.00,Yes,No,56.00,DSL,Yes,Two year,Yes,No
21.20,Male,0.00,No,Yes,56.00,No,No internet service,One year,Yes,No
79.50,Male,0.00,No,No,1.00,Fiber optic,No,Month-to-month,Yes,Yes
25.55,Female,0.00,Yes,No,28.00,No,No internet service,One year,No,No
20.20,Female,0.00,Yes,Yes,19.00,No,No internet service,Month-to-month,No,No
63.85,Male,0.00,Yes,No,66.00,DSL,No,Month-to-month,No,No
61.95,Female,0.00,Yes,Yes,17.00,DSL,No,One year,Yes,No
25.75,Male,0.00,Yes,Yes,52.00,No,No internet service,Two year,No,No
58.20,Female,0.00,No,No,19.00,DSL,Yes,One year,No,No
85.85,Female,0.00,No,No,36.00,DSL,Yes,One year,No,No
70.10,Male,1.00,Yes,No,7.00,Fiber optic,No,Month-to-month,Yes,Yes
104.90,Male,0.00,Yes,Yes,72.00,Fiber optic,Yes,One year,Yes,No
111.30,Male,0.00,Yes,Yes,67.00,Fiber optic,Yes,One year,Yes,Yes
99.85,Male,1.00,No,No,34.00,Fiber optic,Yes,One year,Yes,No
95.25,Male,1.00,Yes,No,57.00,Fiber optic,Yes,Month-to-month,Yes,Yes
86.25,Female,0.00,Yes,No,7.00,Fiber optic,No,Month-to-month,Yes,Yes
100.80,Female,1.00,Yes,No,1.00,Fiber optic,No,Month-to-month,Yes,Yes
19.55,Male,0.00,Yes,No,8.00,No,No internet service,Month-to-month,Yes,No
104.00,Female,0.00,No,No,69.00,Fiber optic,No,Two year,No,No
104.40,Female,0.00,Yes,No,50.00,Fiber optic,No,One year,Yes,No
19.50,Male,0.00,No,No,10.00,No,No internet service,One year,No,No
25.25,Female,0.00,Yes,Yes,12.00,No,No internet service,Two year,No,No
86.30,Female,0.00,No,No,14.00,Fiber optic,Yes,Month-to-month,Yes,Yes
49.85,Female,0.00,Yes,No,70.00,DSL,No,Two year,Yes,No
108.95,Female,1.00,No,No,64.00,Fiber optic,No,Month-to-month,Yes,No
89.90,Female,0.00,Yes,Yes,66.00,DSL,Yes,Two year,No,No
82.00,Female,0.00,Yes,Yes,71.00,DSL,No,Two year,Yes,No
89.95,Male,1.00,No,No,20.00,Fiber optic,No,Month-to-month,No,No
79.35,Male,0.00,Yes,No,72.00,DSL,Yes,Two year,Yes,No
64.05,Female,0.00,Yes,Yes,71.00,DSL,Yes,Two year,No,No
101.15,Male,0.00,Yes,Yes,38.00,Fiber optic,No,Month-to-month,Yes,No
89.95,Female,0.00,No,No,28.00,Fiber optic,Yes,Month-to-month,Yes,Yes
76.45,Male,1.00,Yes,No,17.00,Fiber optic,Yes,Month-to-month,Yes,Yes
39.10,Male,0.00,No,No,33.00,DSL,Yes,One year,Yes,No
34.60,Female,0.00,Yes,Yes,23.00,DSL,No,Two year,No,No
19.55,Male,0.00,Yes,Yes,58.00,No,No internet service,One year,Yes,No
104.45,Female,1.00,Yes,No,70.00,Fiber optic,Yes,Two year,Yes,No
70.50,Male,0.00,Yes,No,4.00,Fiber optic,No,Month-to-month,No,No
20.35,Male,0.00,Yes,Yes,45.00,No,No internet service,Two year,No,No
70.00,Male,0.00,No,No,10.00,Fiber optic,No,Month-to-month,Yes,Yes
19.45,Male,0.00,Yes,Yes,36.00,No,No internet service,Two year,No,No
69.90,Male,0.00,No,No,54.00,DSL,Yes,Month-to-month,Yes,No
59.70,Male,0.00,Yes,Yes,23.00,DSL,Yes,Two year,No,No
78.35,Female,0.00,Yes,Yes,41.00,DSL,Yes,One year,Yes,No
71.45,Male,1.00,No,No,5.00,Fiber optic,No,Month-to-month,Yes,No
45.85,Male,0.00,Yes,Yes,27.00,DSL,Yes,One year,Yes,No
95.85,Female,0.00,No,No,1.00,Fiber optic,No,Month-to-month,Yes,No
35.70,Female,0.00,Yes,Yes,67.00,DSL,No,Two year,No,No
89.55,Female,1.00,Yes,Yes,72.00,DSL,Yes,Two year,Yes,No
24.95,Female,0.00,Yes,Yes,56.00,No,No internet service,Two year,Yes,No
24.85,Male,0.00,Yes,Yes,44.00,No,No internet service,One year,No,No
100.80,Female,1.00,Yes,No,66.00,Fiber optic,Yes,Month-to-month,Yes,No
64.40,Female,0.00,No,No,34.00,DSL,Yes,One year,Yes,Yes
105.35,Female,0.00,Yes,No,69.00,Fiber optic,No,Two year,No,No
102.45,Female,0.00,Yes,Yes,1.00,Fiber optic,No,Month-to-month,Yes,Yes
19.65,Female,0.00,No,No,40.00,No,No internet service,Two year,No,No
54.45,Male,0.00,Yes,Yes,30.00,DSL,No,Month-to-month,Yes,No
70.50,Female,0.00,No,No,11.00,DSL,No,Month-to-month,No,No
20.10,Female,0.00,No,No,15.00,No,No internet service,One year,No,No
69.35,Male,0.00,No,No,11.00,DSL,No,Month-to-month,Yes,No
19.80,Female,0.00,Yes,Yes,64.00,No,No internet service,One year,No,No
74.40,Male,1.00,Yes,No,72.00,DSL,Yes,Two year,No,No
93.05,Male,1.00,Yes,No,72.00,Fiber optic,Yes,Two year,Yes,No
51.20,Female,0.00,No,Yes,1.00,DSL,No,Month-to-month,No,No
65.60,Female,0.00,No,Yes,15.00,DSL,Yes,One year,No,No
80.55,Female,0.00,No,No,60.00,DSL,No,One year,No,No
52.70,Male,0.00,No,No,56.00,DSL,No,One year,No,No
20.85,Female,0.00,No,No,8.00,No,No internet service,Two year,No,No
80.10,Female,0.00,No,No,3.00,Fiber optic,No,Month-to-month,No,Yes
52.15,Female,0.00,Yes,No,49.00,DSL,No,Month-to-month,Yes,No
80.20,Female,0.00,No,No,2.00,Fiber optic,No,Month-to-month,Yes,Yes
98.15,Female,0.00,No,No,6.00,Fiber optic,Yes,Month-to-month,Yes,Yes
114.95,Male,0.00,No,No,70.00,Fiber optic,Yes,Two year,Yes,No
112.95,Male,0.00,No,No,12.00,Fiber optic,Yes,Month-to-month,Yes,Yes
104.45,Male,1.00,Yes,No,52.00,Fiber optic,No,One year,Yes,No
113.65,Female,0.00,Yes,No,72.00,Fiber optic,Yes,Two year,Yes,No
20.60,Female,0.00,No,No,40.00,No,No internet service,Two year,Yes,No
70.90,Female,0.00,No,No,1.00,Fiber optic,No,Month-to-month,No,Yes
86.85,Female,1.00,No,No,3.00,Fiber optic,No,Month-to-month,Yes,Yes
91.55,Female,1.00,No,No,40.00,Fiber optic,No,Month-to-month,Yes,No
49.85,Male,0.00,No,Yes,1.00,DSL,No,Month-to-month,Yes,No
19.80,Male,0.00,Yes,No,30.00,No,No internet service,One year,No,No
99.85,Male,0.00,Yes,Yes,23.00,Fiber optic,No,Month-to-month,Yes,Yes
74.50,Male,0.00,Yes,Yes,1.00,Fiber optic,No,Month-to-month,Yes,Yes
104.15,Female,1.00,Yes,No,44.00,Fiber optic,No,Month-to-month,No,No
109.15,Male,0.00,No,No,65.00,Fiber optic,Yes,Month-to-month,Yes,Yes
48.20,Female,1.00,No,No,7.00,DSL,No,Month-to-month,Yes,No
25.10,Male,1.00,No,No,72.00,No,No internet service,Two year,Yes,No
100.15,Female,1.00,No,No,8.00,Fiber optic,No,Month-to-month,Yes,No
65.20,Female,0.00,No,No,16.00,DSL,No,Month-to-month,Yes,Yes
99.50,Male,1.00,Yes,Yes,66.00,Fiber optic,No,Month-to-month,Yes,Yes
71.55,Male,0.00,No,No,1.00,Fiber optic,No,Month-to-month,Yes,Yes
55.90,Male,0.00,No,Yes,3.00,DSL,No,Month-to-month,No,No
93.90,Male,0.00,Yes,No,53.00,Fiber optic,No,Month-to-month,No,Yes
64.40,Male,1.00,Yes,No,8.00,DSL,No,Month-to-month,Yes,No
108.40,Male,1.00,Yes,No,69.00,Fiber optic,Yes,Two year,Yes,Yes
85.30,Female,0.00,No,No,5.00,Fiber optic,Yes,Month-to-month,Yes,No
107.45,Female,0.00,Yes,Yes,72.00,Fiber optic,No,Two year,No,No
48.75,Female,0.00,Yes,No,13.00,DSL,No,Month-to-month,Yes,Yes
85.65,Female,0.00,No,No,4.00,Fiber optic,No,Month-to-month,Yes,Yes
91.30,Female,0.00,Yes,Yes,54.00,DSL,Yes,Two year,No,No
85.95,Male,0.00,Yes,No,72.00,DSL,Yes,Two year,No,No
106.70,Male,0.00,No,No,12.00,Fiber optic,Yes,Month-to-month,Yes,Yes
25.15,Male,0.00,No,No,1.00,DSL,No,Month-to-month,Yes,Yes
45.20,Male,1.00,No,No,1.00,DSL,No,Month-to-month,No,No
110.35,Female,0.00,Yes,No,54.00,Fiber optic,Yes,One year,No,Yes
79.20,Male,0.00,Yes,Yes,69.00,Fiber optic,No,Two year,Yes,No
55.50,Female,0.00,No,No,48.00,DSL,Yes,Two year,No,No
103.25,Female,0.00,Yes,Yes,48.00,Fiber optic,Yes,One year,Yes,Yes
90.25,Female,0.00,Yes,No,8.00,Fiber optic,No,Month-to-month,Yes,No
91.25,Male,0.00,Yes,Yes,71.00,DSL,Yes,Two year,Yes,No
47.80,Male,0.00,No,No,2.00,DSL,No,Month-to-month,Yes,Yes
100.90,Male,0.00,Yes,No,67.00,Fiber optic,Yes,One year,Yes,No
97.70,Male,0.00,Yes,Yes,34.00,Fiber optic,Yes,Month-to-month,Yes,No
69.85,Female,0.00,No,No,3.00,Fiber optic,No,Month-to-month,Yes,No
65.60,Female,0.00,Yes,Yes,9.00,DSL,Yes,One year,Yes,No
104.65,Male,0.00,Yes,Yes,71.00,Fiber optic,Yes,One year,Yes,No
90.45,Male,0.00,No,No,57.00,Fiber optic,No,Two year,Yes,No
63.70,Male,0.00,No,No,72.00,DSL,Yes,Two year,Yes,No
104.50,Female,1.00,Yes,Yes,48.00,Fiber optic,No,Month-to-month,Yes,No
20.10,Male,0.00,No,No,18.00,No,No internet service,One year,No,No
104.30,Male,0.00,Yes,Yes,43.00,Fiber optic,No,One year,Yes,No
93.25,Female,0.00,Yes,Yes,72.00,DSL,Yes,Two year,Yes,No
73.45,Male,0.00,Yes,Yes,35.00,DSL,No,One year,Yes,No
20.70,Male,0.00,No,No,4.00,No,No internet service,Month-to-month,No,No
25.25,Female,0.00,Yes,Yes,49.00,No,No internet service,Two year,No,No
100.50,Female,0.00,Yes,Yes,71.00,Fiber optic,Yes,Two year,No,No
90.60,Male,0.00,Yes,Yes,11.00,Fiber optic,No,Month-to-month,No,No
89.40,Male,0.00,Yes,Yes,63.00,DSL,Yes,Two year,Yes,No
95.45,Female,1.00,No,No,65.00,Fiber optic,Yes,Month-to-month,Yes,No
20.45,Female,0.00,No,Yes,49.00,No,No internet service,Two year,No,No
98.60,Female,0.00,No,No,29.00,Fiber optic,No,Month-to-month,Yes,Yes
83.05,Female,1.00,Yes,No,15.00,Fiber optic,No,Month-to-month,Yes,Yes
19.95,Female,0.00,Yes,Yes,4.00,No,No internet service,Month-to-month,Yes,No
109.15,Female,0.00,Yes,No,72.00,Fiber optic,Yes,One year,No,No
85.70,Female,1.00,Yes,No,26.00,Fiber optic,No,Month-to-month,Yes,No
102.05,Female,1.00,Yes,No,35.00,Fiber optic,No,Month-to-month,No,No
94.70,Female,0.00,No,No,57.00,Fiber optic,Yes,One year,No,No
64.40,Male,0.00,Yes,Yes,28.00,DSL,Yes,Month-to-month,No,No
26.80,Female,0.00,Yes,No,25.00,No,No internet service,One year,Yes,No
66.05,Female,0.00,Yes,No,47.00,DSL,No,One year,Yes,No
65.20,Female,0.00,Yes,Yes,57.00,DSL,Yes,Month-to-month,No,No
85.05,Male,1.00,Yes,No,16.00,Fiber optic,No,Month-to-month,Yes,No
55.80,Male,0.00,No,No,5.00,DSL,No,Month-to-month,Yes,No
70.40,Male,0.00,Yes,No,17.00,Fiber optic,No,Month-to-month,Yes,Yes
104.75,Female,1.00,No,No,56.00,Fiber optic,Yes,One year,Yes,Yes
19.95,Male,0.00,Yes,Yes,72.00,No,No internet service,Two year,No,No
94.25,Female,1.00,No,No,21.00,Fiber optic,No,Month-to-month,Yes,Yes
45.00,Female,0.00,Yes,Yes,48.00,DSL,No,One year,No,No
114.90,Female,0.00,Yes,No,68.00,Fiber optic,Yes,Two year,No,No
106.40,Female,0.00,No,No,30.00,Fiber optic,No,Month-to-month,No,No
46.10,Female,0.00,Yes,No,3.00,DSL,No,Month-to-month,Yes,No
39.70,Female,1.00,No,No,14.00,DSL,No,Two year,No,No
20.05,Female,0.00,No,Yes,4.00,No,No internet service,Month-to-month,Yes,No
95.75,Female,0.00,Yes,Yes,71.00,Fiber optic,Yes,Two year,Yes,No
24.40,Male,0.00,Yes,Yes,8.00,No,No internet service,One year,No,No
33.60,Male,0.00,Yes,Yes,61.00,DSL,No,Month-to-month,No,No
90.45,Male,0.00,Yes,Yes,72.00,Fiber optic,Yes,Two year,No,No
84.00,Female,0.00,No,No,5.00,Fiber optic,No,Month-to-month,Yes,No
67.40,Female,0.00,No,No,49.00,DSL,Yes,Two year,No,No
19.70,Male,0.00,No,No,8.00,No,No internet service,Month-to-month,Yes,No
80.35,Male,0.00,No,No,3.00,Fiber optic,No,Month-to-month,Yes,No
19.60,Male,0.00,Yes,Yes,9.00,No,No internet service,Two year,No,No
54.20,Male,0.00,Yes,Yes,67.00,DSL,Yes,Two year,Yes,No
45.20,Male,0.00,No,No,46.00,DSL,No,Month-to-month,Yes,No
75.10,Female,0.00,Yes,No,67.00,DSL,Yes,One year,No,No
19.70,Female,0.00,Yes,No,55.00,No,No internet service,One year,No,No
72.75,Male,0.00,Yes,No,33.00,DSL,Yes,Month-to-month,Yes,No
20.05,Male,0.00,Yes,Yes,62.00,No,No internet service,Two year,No,No
45.95,Female,0.00,No,Yes,1.00,DSL,No,Month-to-month,No,Yes
39.20,Male,0.00,Yes,Yes,49.00,DSL,No,Month-to-month,Yes,No
44.75,Male,0.00,No,No,1.00,DSL,No,Month-to-month,Yes,No
82.65,Male,0.00,Yes,No,14.00,Fiber optic,Yes,Month-to-month,Yes,No
93.90,Male,1.00,No,No,18.00,Fiber optic,No,Month-to-month,No,No
70.15,Female,1.00,No,No,1.00,Fiber optic,No,Month-to-month,Yes,Yes
85.55,Female,0.00,No,No,1.00,Fiber optic,No,Month-to-month,Yes,Yes
117.15,Female,0.00,Yes,No,72.00,Fiber optic,Yes,Two year,Yes,No
99.25,Male,0.00,No,No,64.00,Fiber optic,No,Two year,No,No
112.55,Male,0.00,Yes,No,69.00,Fiber optic,Yes,Two year,Yes,No
25.70,Female,0.00,No,No,1.00,No,No internet service,Month-to-month,Yes,No
90.30,Male,0.00,Yes,Yes,71.00,DSL,Yes,Two year,No,No
49.40,Female,0.00,Yes,Yes,66.00,DSL,No,One year,Yes,No
19.40,Male,0.00,No,No,2.00,No,No internet service,Month-to-month,No,No
109.70,Female,1.00,Yes,No,71.00,Fiber optic,Yes,Two year,Yes,No
61.25,Male,0.00,No,No,11.00,DSL,Yes,One year,Yes,No
55.30,Male,0.00,No,Yes,47.00,DSL,Yes,Month-to-month,Yes,No
